JOB TITLE,MIN SALARY ESTIMATION,MAX SALARY ESTIMATION,RATING,COMPANY NAME,LOCATION,HEAD QUARTERS,COMPANY AGE,COMPANY TYPE,INDUSTRY,SECTOR,REVENUE,data_job_role,EXCEL,SQL,PYTHON,TABLEAU,POWER BI,BACHELOR'S DEGREE REQUIREMENT,MASTER'S DEGREE REQUIREMENT,PHD DEGREE REQUIREMENT,COMPANY_AGE,COMPANY_SIZE
Senior Data Engineer,90000,109000,4.9,Lendio,"Lehi, UT","Lehi, UT",12,Private,Lending,Finance,$50 to $100 million,engineer,0,1,1,0,0,0,0,0,12,L
Data Scientist,90000,109000,4.2,Upstart,"San Mateo, CA","San Mateo, CA",11,Private,Lending,Finance,-1,scientist,0,0,1,0,0,0,0,1,11,L
Data Analyst,90000,109000,4.5,Envision LLC,"San Francisco, CA","Saint Louis, MO",29,Private,Staffing & Outsourcing,Business Services,$25 to $50 million,analyst,0,0,1,1,0,0,0,0,29,L
Data Engineer,90000,109000,4.8,AppLovin,"Palo Alto, CA","Palo Alto, CA",11,Private,Video Games,Media,-1,engineer,1,0,0,0,0,0,0,0,11,L
Data Integration and Modeling Engineer,90000,109000,3.8,ISO New England,"Holyoke, MA","Holyoke, MA",26,NPO,Utilities,"Oil, Gas, Energy & Utilities",-1,engineer,1,1,0,0,0,0,0,0,26,L
Tableau Data Engineer 20-0117,90000,109000,3.7,Relativity,"Chicago, IL","Chicago, IL",22,Private,Enterprise Software & Network Solutions,Information Technology,-1,engineer,1,1,0,1,0,1,0,0,22,L
Senior Data Scientist,90000,109000,3.3,Tempo Automation,"San Francisco, CA","San Francisco, CA",10,Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million,scientist,0,1,1,1,0,1,1,0,10,M
AI Data Scientist,90000,109000,3.3,MITRE,"McLean, VA","Bedford, MA",65,NPO,Federal Agencies,Government,$1 to $2 billion,scientist,0,0,1,0,0,0,0,0,65,L
Machine Learning Engineer,90000,109000,5,"Expedition Technology, Inc.","Herndon, VA","Dulles, VA",10,Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million,engineer,1,0,1,0,0,0,0,0,10,S
Research Scientist Patient Preferences (Remote),90000,109000,3.8,Evidera,"Bethesda, MD","Bethesda, MD",10,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million,scientist,1,0,0,0,0,0,0,0,10,L
Data Scientist,90000,109000,3.4,Plymouth Rock Assurance,"Woodbridge, NJ","Boston, MA",41,Private,Insurance Carriers,Insurance,$10 to $25 million,scientist,1,1,0,0,0,0,1,1,41,L
Scientist - Biomarker and Flow Cytometry,90000,109000,2.4,Crown Bioscience,"San Diego, CA","San Diego, CA",17,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million,scientist,0,0,0,0,0,0,0,1,17,L
Data Scientist,90000,109000,2.9,GNS Healthcare,"Cambridge, MA","Cambridge, MA",23,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million,scientist,0,1,0,0,0,0,1,0,23,M
Analytics Manager,90000,109000,4.4,OneMagnify,"Dearborn, MI","Detroit, MI",56,Private,Advertising & Marketing,Business Services,-1,other job role,1,1,0,1,0,0,0,0,56,L
Data Scientist,90000,109000,2.9,SPECTRUM,"Maryland Heights, MO","Stamford, CT",7,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion,scientist,1,1,1,0,0,0,0,1,7,L
Staff Scientist- Upstream PD,90000,109000,2.7,Advanced BioScience Laboratories,"Rockville, MD","Rockville, MD",62,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million,scientist,0,0,0,0,0,0,0,0,62,L
Data Engineer,90000,109000,4.2,Procore Technologies,"Carpinteria, CA","Carpinteria, CA",21,Private,Computer Hardware & Software,Information Technology,-1,engineer,1,1,1,0,0,0,0,0,21,L
Sr Scientist - Extractables & Leachables,90000,109000,3.5,Ritedose,"Columbia, SC","Columbia, SC",28,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million,scientist,1,0,0,0,0,0,0,0,28,L
ELISA RESEARCH SCIENTIST (CV-15),90000,109000,0,Covid-19 Search Partners,"Hauppauge, NY",-1,-1,-1,-1,-1,-1,scientist,0,0,0,0,0,0,0,0,-1,-1
Sr Data Scientist,90000,109000,4.2,bioMérieux,"Saint Louis, MO","Marcy-l'Etoile, France",60,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion,scientist,1,0,1,0,0,0,0,0,60,L
Data Scientist,101000,165000,4.5,Novetta,"Herndon, VA","Mc Lean, VA",11,Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million,scientist,1,0,1,0,0,0,0,0,11,L
Experienced Data Scientist,101000,165000,4.4,Guzman & Griffin Technologies (GGTI),"Washington, DC","Mays Landing, NJ",26,Private,Federal Agencies,Government,-1,scientist,1,1,1,1,0,0,0,0,26,S
Machine Learning Engineer,101000,165000,0,Radical Convergence,"Reston, VA",-1,-1,-1,-1,-1,-1,engineer,0,0,1,0,0,0,0,0,-1,-1
Data Scientist,101000,165000,3.5,Leidos,"Fort Meade, MD","Reston, VA",54,Public,Aerospace & Defense,Aerospace & Defense,$10+ billion,scientist,0,0,0,0,0,0,1,0,54,L
Data Scientist,101000,165000,4.5,Demandbase,"San Francisco, CA","San Francisco, CA",17,Private,Computer Hardware & Software,Information Technology,$100 to $500 million,scientist,0,1,1,0,0,0,0,0,17,L
Say Business Data Analyst,101000,165000,4.1,Shelter Insurance,"Columbia, MO","Columbia, MO",77,Private,Insurance Carriers,Insurance,$1 to $2 billion,analyst,1,1,1,1,0,0,0,0,77,L
Geospatial Data Scientist,101000,165000,3.5,Maxar Technologies,"Chantilly, VA","Westminster, CO",-1,Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion,scientist,0,0,0,0,0,1,0,0,-1,L
Data Analyst,101000,165000,2.7,USAC,"Washington, DC","Washington, DC",26,NPO,Telecommunications Services,Telecommunications,$25 to $50 million,analyst,1,1,1,0,0,0,0,0,26,L
Computational Scientist,101000,165000,3.4,General Dynamics Information Technology,"Vicksburg, MS","Fairfax, VA",27,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion,scientist,0,0,0,0,0,0,0,0,27,L
Data Scientist,101000,165000,4.4,Offerpad,"Chandler, AZ","Chandler, AZ",8,Private,Real Estate,Real Estate,-1,scientist,1,1,1,0,1,0,0,0,8,L
Senior Data Analyst,101000,165000,4,Autodesk,"San Francisco, CA","San Rafael, CA",41,Public,Computer Hardware & Software,Information Technology,$2 to $5 billion,analyst,0,1,1,0,0,0,0,0,41,L
Senior Data Analyst,101000,165000,4.2,Autodesk,"San Francisco, CA","Herndon, VA",55,Public,Research & Development,Business Services,$1 to $2 billion,analyst,0,1,1,1,0,0,1,0,55,L
Data Engineer,101000,165000,3.5,Magna International Inc.,"Birmingham, AL","Aurora, Canada",66,Public,-1,-1,$10+ billion,engineer,0,1,1,0,0,1,0,0,66,L
Sr Data Analyst,101000,165000,2.3,United BioSource,"Blue Bell, PA","Blue Bell, PA",20,Others,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million,analyst,1,1,0,1,0,0,0,0,20,L
Data Scientist,101000,165000,3.4,Kelly,"Chicago, IL","Troy, MI",77,Public,Staffing & Outsourcing,Business Services,$5 to $10 billion,scientist,1,0,0,0,0,0,0,0,77,L
"Machine Learning Scientist - Bay Area, CA",101000,165000,3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",8,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,scientist,0,1,1,0,0,0,0,1,8,L
Data Scientist,101000,165000,4.7,C3.ai,"Redwood City, CA","Redwood City, CA",14,Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million,scientist,1,0,1,0,0,0,0,1,14,L
Senior Data Scientist - Algorithms,101000,165000,3.9,Quartet Health,"New York, NY","New York, NY",9,Private,Enterprise Software & Network Solutions,Information Technology,-1,scientist,0,0,1,0,0,0,0,1,9,L
Data Analyst,101000,165000,3.3,Midland Credit Management,"San Diego, CA","San Diego, CA",70,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$1 to $2 billion,analyst,1,1,1,0,0,0,0,0,70,L
Senior Data & Machine Learning Scientist,101000,165000,3.3,Tempus Labs,"Chicago, IL","Chicago, IL",8,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,scientist,0,1,1,0,0,0,0,1,8,L
Data Engineer,101000,165000,4.4,Resurgent Capital Services,"Cincinnati, OH","Greenville, SC",25,Private,Venture Capital & Private Equity,Finance,$50 to $100 million,engineer,1,1,1,0,0,0,0,0,25,L
"Data Scientist - Statistics, Early Career",56000,97000,3.7,PNNL,"Richland, WA","Richland, WA",58,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion,scientist,1,0,0,0,0,0,0,1,58,L
Data Scientist,56000,97000,3.5,Buckman,"Memphis, TN","Memphis, TN",78,Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion,scientist,0,1,1,0,0,0,0,1,78,L
Machine Learning Engineer,56000,97000,3.6,Buckman,"Memphis, TN","Arlington, VA",56,NPO,Federal Agencies,Government,$50 to $100 million,engineer,0,0,1,0,0,0,0,0,56,L
Research Scientist - Patient-Centered Research (Remote),56000,97000,3.8,Evidera,"Bethesda, MD","Bethesda, MD",10,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million,scientist,1,0,0,0,0,0,0,0,10,L
Jr. Business Data Analyst (position added 6/12/2020),56000,97000,4.7,webfx.com,"Harrisburg, PA","Harrisburg, PA",26,Private,Advertising & Marketing,Business Services,$25 to $50 million,analyst,1,0,0,0,0,1,0,0,26,L
Sr. Data Scientist II,56000,97000,3.5,Argo Group US,"New York, NY","Hamilton, Bermuda",75,Public,Insurance Carriers,Insurance,$1 to $2 billion,scientist,0,1,1,0,0,0,0,0,75,L
Data Scientist,56000,97000,3.3,BWX Technologies,"Oak Ridge, TN","Lynchburg, VA",173,Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion,scientist,0,0,1,0,0,0,0,0,173,L
Senior Data Analyst,56000,97000,3.9,Life360,"San Francisco, CA","San Francisco, CA",15,Public,Internet,Information Technology,-1,analyst,0,1,1,1,0,0,0,0,15,M
Lead Data Scientist,56000,97000,3.7,MassMutual,"Boston, MA","Springfield, MA",172,Private,Insurance Carriers,Insurance,$10+ billion,scientist,0,1,1,0,0,0,0,0,172,L
Production Engineer - Statistics/Data Analysis,56000,97000,3.9,Natera,"San Carlos, CA","San Carlos, CA",19,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million,engineer,1,0,1,0,0,0,0,0,19,L
Statistical Scientist,56000,97000,4,Genentech,"South San Francisco, CA","South San Francisco, CA",47,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,scientist,1,0,1,0,0,0,0,0,47,L
Computational Behavioral Scientist,56000,97000,4.2,Ntrepid,"Herndon, VA","Herndon, VA",13,Private,IT Services,Information Technology,$50 to $100 million,scientist,0,1,1,0,0,0,0,0,13,L
Principal Data Scientist - Machine Learning,56000,97000,3.6,Constant Contact,"Waltham, MA","Waltham, MA",28,Subsidiary or Business Segment,Advertising & Marketing,Business Services,-1,scientist,1,0,1,0,0,0,0,1,28,-1
Principal Machine Learning Scientist,56000,97000,4.7,Sage Intacct,"San Francisco, CA","San Jose, CA",24,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,-1,scientist,0,1,1,0,0,0,0,1,24,L
Data Engineer,56000,97000,4.1,Shape Security,"Santa Clara, CA","Mountain View, CA",12,Private,IT Services,Information Technology,-1,engineer,0,0,1,0,0,0,0,0,12,M
Principal Data Scientist,56000,97000,4,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",110,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,scientist,1,0,1,0,0,0,0,1,110,L
Data Scientist,56000,97000,5,SkillSoniq,"San Francisco, CA","Jersey City, NJ",-1,Public,-1,-1,-1,scientist,0,1,1,0,0,0,0,0,-1,-1
Senior Data Scientist - R&D Oncology,56000,97000,4,AstraZeneca,"New York, NY","Cambridge, United Kingdom",110,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,scientist,0,0,1,0,0,0,0,1,110,L
Data Scientist,56000,97000,4.3,Joby Aviation,"San Carlos, CA","Santa Cruz, CA",-1,Private,-1,-1,-1,scientist,1,1,1,0,0,0,0,0,-1,M
"Health Plan Data Analyst, Sr",56000,97000,3.8,Cook Children's Health Care System,"Fort Worth, TX","Fort Worth, TX",105,NPO,Health Care Services & Hospitals,Health Care,$100 to $500 million,analyst,0,0,0,0,0,0,0,0,105,L
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",56000,97000,3.8,Rubius Therapeutics,"Smithfield, RI","Cambridge, MA",10,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million,scientist,0,0,0,0,0,0,0,0,10,L
Analytics - Business Assurance Data Analyst,56000,97000,4.6,GreatAmerica Financial Services,"Cedar Rapids, IA","Cedar Rapids, IA",31,Private,Lending,Finance,$100 to $500 million,analyst,1,1,0,1,0,0,0,0,31,L
Data Scientist - Contract,79000,106000,4.1,Upside Business Travel,Remote,"Washington, DC",8,Private,Internet,Information Technology,-1,scientist,0,0,1,0,0,0,0,0,8,M
Data Scientist,79000,106000,3.4,Spectrum Communications and Consulting,"Chicago, IL","Chicago, IL",31,Private,Advertising & Marketing,Business Services,$10 to $25 million,scientist,0,1,0,0,0,1,0,0,31,M
Data Scientist,79000,106000,4.1,Coverent,"McLean, VA","McLean, VA",15,Private,Consulting,Business Services,$10 to $25 million,scientist,1,0,1,0,0,1,1,0,15,M
Machine Learning Engineer,79000,106000,3.7,Mteq,"Fort Belvoir, VA","Lorton, VA",69,Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million,engineer,0,0,1,0,0,0,0,0,69,L
Data Engineer,79000,106000,4.4,Rocket Lawyer,"San Francisco, CA","San Francisco, CA",15,Private,Computer Hardware & Software,Information Technology,$50 to $100 million,engineer,1,1,1,0,0,0,0,0,15,M
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",79000,106000,3.9,Novartis,"Cambridge, MA","Basel, Switzerland",27,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,scientist,0,0,0,0,0,0,0,0,27,L
Data Engineer,79000,106000,3.6,Alion Science & Technology,"Linthicum Heights, MD","Mc Lean, VA",22,Private,Research & Development,Business Services,$1 to $2 billion,engineer,1,1,1,0,0,0,0,0,22,L
Data Science Instructor,79000,106000,4.5,Novetta,"Herndon, VA","Mc Lean, VA",11,Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million,other job role,1,0,0,0,0,0,0,0,11,L
Senior Business Intelligence Analyst,79000,106000,3.7,Protolabs,"Maple Plain, MN","Maple Plain, MN",24,Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million,analyst,0,1,0,0,0,0,0,0,24,L
In-Line Inspection Data Analyst,79000,106000,2.9,Quest Integrity,"Tulsa, OK","Kent, WA",27,Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 to $100 million,analyst,1,0,0,0,0,0,0,0,27,L
Data Scientist - TS/SCI FSP or CI Required,79000,106000,5,Phoenix Operations Group,"Annapolis Junction, MD","Woodbine, MD",12,Private,IT Services,Information Technology,$1 to $5 million,scientist,0,0,1,0,0,0,0,0,12,S
Data Scientist,79000,106000,3.4,Dice.com,"Newton, MA","Denver, CO",33,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million,scientist,1,1,1,0,0,1,0,0,33,L
Senior Data Scientist,79000,106000,3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",-1,Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion,scientist,1,1,1,0,0,0,0,0,-1,L
Data Scientist - TS/SCI Required,79000,106000,5,Phoenix Operations Group,"Baltimore, MD","Woodbine, MD",12,Private,IT Services,Information Technology,$1 to $5 million,scientist,0,0,1,0,0,0,0,0,12,S
Data Science Software Engineer,79000,106000,4.8,Klaviyo,"Boston, MA","Boston, MA",11,Private,Computer Hardware & Software,Information Technology,-1,engineer,0,0,1,0,0,1,0,0,11,L
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,79000,106000,3.9,Southwest Research Institute,"Oklahoma City, OK","San Antonio, TX",76,NPO,Research & Development,Business Services,$500 million to $1 billion,scientist,1,0,1,0,0,0,0,0,76,L
AI Ops Data Scientist,79000,106000,4,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",110,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,scientist,0,1,1,0,0,0,0,0,110,L
"Intelligence Data Analyst, Senior",79000,106000,4.3,The Buffalo Group,"Fort Belvoir, VA","Reston, VA",13,Private,IT Services,Information Technology,$100 to $500 million,analyst,0,0,1,0,0,0,0,0,13,L
Analytics Manager - Data Mart,79000,106000,3.5,Central California Alliance for Health,"Scotts Valley, CA","Scotts Valley, CA",27,NPO,Health Care Services & Hospitals,Health Care,$500 million to $1 billion,other job role,0,1,0,1,0,1,0,0,27,L
Data Modeler (Analytical Systems),79000,106000,3.7,MassMutual,"Boston, MA","Springfield, MA",172,Private,Insurance Carriers,Insurance,$10+ billion,other job role,1,1,0,0,0,0,0,0,172,L
"Senior Machine Learning Scientist - Bay Area, CA",79000,106000,3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",8,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,scientist,0,1,1,0,0,0,0,1,8,L
Report Writer-Data Analyst,79000,106000,3.1,Security Finance Corporation of Spartanburg,"Spartanburg, SC","Spartanburg, SC",68,Private,Lending,Finance,-1,analyst,0,1,0,0,0,0,0,0,68,L
Data Scientist/Machine Learning,71000,123000,4.3,PulsePoint,"New York, NY","New York, NY",12,Private,Internet,Information Technology,$100 to $500 million,scientist,0,0,1,0,0,0,0,1,12,M
Data Scientist - Risk,71000,123000,4.2,LSQ,"Orlando, FL","Orlando, FL",27,Private,Investment Banking & Asset Management,Finance,$100 to $500 million,scientist,1,0,1,1,1,0,1,0,27,M
Data Engineer,71000,123000,4.4,Resurgent Capital Services,"Cincinnati, OH","Greenville, SC",25,Private,Venture Capital & Private Equity,Finance,$50 to $100 million,engineer,1,1,1,0,0,0,0,0,25,L
Staff Data Scientist - Pricing,71000,123000,3.6,Opendoor,"San Francisco, CA","San Francisco, CA",9,Private,Real Estate,Real Estate,$2 to $5 billion,scientist,0,1,1,0,0,0,0,0,9,L
Data Scientist,71000,123000,4.5,Global Data Management Inc,"Hartford, CT","Woodbridge, NJ",15,Private,IT Services,Information Technology,$5 to $10 million,scientist,0,1,1,0,0,0,0,0,15,M
Data Scientist,71000,123000,3,Photon Infotech,"Chicago, IL","Chennai, India",24,Private,IT Services,Information Technology,$100 to $500 million,scientist,1,1,1,0,0,0,0,0,24,L
Data Scientist,71000,123000,5,REE,United States,"Tel Aviv-Yafo, Israel",5,Private,Transportation Equipment Manufacturing,Manufacturing,-1,scientist,0,0,1,0,0,0,0,0,5,M
Machine Learning Engineer,71000,123000,3.6,Riverside Research Institute,"Beavercreek, OH","Arlington, VA",56,NPO,Federal Agencies,Government,$50 to $100 million,engineer,0,0,1,0,0,0,0,0,56,L
Equity Data Insights Analyst - Quantitative Analyst,71000,123000,3.6,T. Rowe Price,"Baltimore, MD","Baltimore, MD",86,Public,Investment Banking & Asset Management,Finance,$2 to $5 billion,analyst,1,0,1,1,0,0,0,0,86,L
Data Scientist,71000,123000,0,"Encode, Inc.","Norfolk, VA","Manalapan, NJ",-1,Private,IT Services,Information Technology,$5 to $10 million,scientist,1,0,0,0,0,0,0,0,-1,S
Research Scientist - Patient-Centered Research (Remote),71000,123000,3.8,Evidera,"Bethesda, MD","Bethesda, MD",10,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million,scientist,1,0,0,0,0,0,0,0,10,L
Data Scientist,71000,123000,3.3,BWX Technologies,"Oak Ridge, TN","Lynchburg, VA",173,Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion,scientist,0,0,1,0,0,0,0,0,173,L
Operations Data Analyst,71000,123000,3.8,Brighthouse Financial,"Charlotte, NC","Charlotte, NC",6,Public,Insurance Carriers,Insurance,-1,analyst,0,0,0,0,0,0,0,0,6,L
Sr. Data Scientist II,71000,123000,3.5,Argo Group US,"New York, NY","Hamilton, Bermuda",75,Public,Insurance Carriers,Insurance,$1 to $2 billion,scientist,0,1,1,0,0,0,0,0,75,L
Data Scientist,71000,123000,3.3,II-VI Incorporated,"Champaign, IL","Saxonburg, PA",52,Public,Telecommunications Manufacturing,Telecommunications,$1 to $2 billion,scientist,1,1,0,0,0,0,0,0,52,L
Data Scientist,71000,123000,4.6,Surya Systems,"San Francisco, CA","Bristol, PA",-1,Private,Computer Hardware & Software,Information Technology,Less than $1 million,scientist,0,1,1,1,0,0,0,0,-1,S
Data Scientist,71000,123000,3.8,PayPal,Texas,"San Jose, CA",25,Public,Internet,Information Technology,$10+ billion,scientist,1,0,1,0,0,0,1,1,25,L
Senior Data Analyst,71000,123000,3.9,Life360,"San Francisco, CA","San Francisco, CA",15,Public,Internet,Information Technology,-1,analyst,0,1,1,1,0,0,0,0,15,M
Data Scientist,71000,123000,3.9,Predictive Research Inc,"Plano, TX","Bangalore, India",-1,Private,Consulting,Business Services,-1,scientist,0,0,1,0,0,0,0,0,-1,S
Data Scientist,90000,124000,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",20,Private,Computer Hardware & Software,Information Technology,$25 to $50 million,scientist,1,1,1,0,0,0,0,0,20,M
Senior Research Statistician- Data Scientist,90000,124000,4.8,Acuity Insurance,"Sheboygan, WI","Sheboygan, WI",98,Private,Insurance Carriers,Insurance,$1 to $2 billion,scientist,0,0,0,0,0,0,1,1,98,L
Software Data Engineer,90000,124000,3.1,1010data,"New York, NY","New York, NY",23,Private,Computer Hardware & Software,Information Technology,$50 to $100 million,engineer,1,1,1,0,0,1,0,0,23,L
Data Scientist,90000,124000,3.6,Gigya,"Palo Alto, CA","Mountain View, CA",17,Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million,scientist,0,0,0,0,0,1,0,0,17,L
Real World Evidence (RWE) Scientist,90000,124000,5,Genesis Research,"Hoboken, NJ","Hoboken, NJ",14,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,scientist,0,1,1,0,0,0,1,1,14,S
Data Scientist,90000,124000,3.7,Sanofi,"Cambridge, MA","Paris, France",50,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,scientist,0,1,1,1,0,0,1,1,50,L
Data Scientist,90000,124000,3.7,XPO Logistics,"Lebanon, IN","Greenwich, CT",12,Public,Transportation Management,Transportation & Logistics,$10+ billion,scientist,0,1,1,0,0,1,0,0,12,L
Data Scientist,90000,124000,3.9,Trace Data,"Oakland, CA","Santa Ana, CA",23,Private,Insurance Carriers,Insurance,$10 to $25 million,scientist,0,1,1,0,0,1,0,0,23,M
Data Scientist,90000,124000,4.3,Descript,"San Francisco, CA","Houston, TX",-1,Private,-1,-1,Less than $1 million,scientist,0,0,1,0,0,0,0,1,-1,S
Computer Scientist 1,90000,124000,4.2,Rincon Research Corporation,"Melbourne, FL","Tucson, AZ",40,Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million,scientist,0,0,1,0,0,0,0,0,40,L
Lead Data Scientist,90000,124000,3.7,MassMutual,"Boston, MA","Springfield, MA",172,Private,Insurance Carriers,Insurance,$10+ billion,scientist,0,1,1,0,0,0,0,0,172,L
Data Scientist,90000,124000,4,Better Hire,"Birmingham, AL","Birmingham, AL",-1,Private,-1,-1,-1,scientist,0,1,0,0,0,0,0,0,-1,S
Data Scientist,90000,124000,3.3,Parker Hannifin,"Cleveland, OH","Cleveland, OH",106,Public,Industrial Manufacturing,Manufacturing,$10+ billion,scientist,1,1,1,0,0,0,0,1,106,L
Data Scientist,90000,124000,4.1,Gallup,"New York, NY","Washington, DC",88,Private,Consulting,Business Services,-1,scientist,1,0,1,0,0,0,0,0,88,L
Data Scientist,90000,124000,3.3,Insider Inc,"New York, NY","New York, NY",16,Private,News Outlet,Media,$50 to $100 million,scientist,1,0,1,0,0,0,0,0,16,L
Data Scientist,90000,124000,3.9,Rapid Value Solutions,"San Francisco, CA","Pleasanton, CA",14,Private,IT Services,Information Technology,-1,scientist,0,1,1,0,0,0,0,0,14,L
Environmental Data Science,90000,124000,3.1,Battelle,"Norwell, MA","Columbus, OH",94,NPO,Research & Development,Business Services,$5 to $10 billion,other job role,1,1,0,0,0,0,0,0,94,L
Computational Behavioral Scientist,90000,124000,4.2,Ntrepid,"Herndon, VA","Herndon, VA",13,Private,IT Services,Information Technology,$50 to $100 million,scientist,0,1,1,0,0,0,0,0,13,L
Data Scientist,90000,124000,5,"The Drive Media, Inc.","New York, NY",-1,-1,-1,-1,-1,-1,scientist,1,1,1,0,0,1,0,0,-1,-1
Staff BI and Data Engineer,90000,124000,2.9,Affinity Solutions,"San Jose, CA","New York, NY",25,Private,Advertising & Marketing,Business Services,-1,engineer,0,1,1,1,0,0,0,0,25,M
Principal Machine Learning Scientist,90000,124000,4.7,Sage Intacct,"San Francisco, CA","San Jose, CA",24,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,-1,scientist,0,1,1,0,0,0,0,1,24,L
Principal Data Scientist - Machine Learning,90000,124000,3.6,Constant Contact,"Waltham, MA","Waltham, MA",28,Subsidiary or Business Segment,Advertising & Marketing,Business Services,-1,scientist,1,0,1,0,0,0,0,1,28,-1
Data Scientist-Human Resources,91000,150000,3.8,MIT Lincoln Laboratory,"Lexington, MA","Lexington, MA",72,NPO,Aerospace & Defense,Aerospace & Defense,-1,scientist,0,1,1,0,0,0,0,0,72,L
Associate Data Scientist,91000,150000,3.3,Puget Sound Energy,"Bothell, WA","Bellevue, WA",24,Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion,scientist,1,1,0,0,0,0,0,0,24,L
"Data Scientist - Statistics, Mid-Career",91000,150000,3.7,Pacific Northwest National Laboratory,"Richland, WA","Richland, WA",58,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion,scientist,0,0,0,0,0,0,0,1,58,L
Director of Data Science,91000,150000,3.8,Analysis Group,"Boston, MA","Boston, MA",42,Private,Consulting,Business Services,$100 to $500 million,other job role,1,1,1,0,0,0,0,1,42,L
Data Scientist,91000,150000,3.2,US Pharmacopeia,"Rockville, MD","Rockville, MD",203,NPO,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million,scientist,1,1,1,1,0,0,0,0,203,L
Data Scientist,91000,150000,4.6,Itlize Global,"Piscataway, NJ","Piscataway, NJ",13,Private,IT Services,Information Technology,$10 to $25 million,scientist,0,0,1,0,0,0,0,0,13,L
Data Scientist,91000,150000,3.5,eBay,"San Jose, CA","San Jose, CA",28,Public,Internet,Information Technology,$10+ billion,scientist,0,1,1,1,0,0,1,0,28,L
"Data Engineer, Digital & Comp Pathology",91000,150000,5,Paige,"New York, NY","New York, NY",5,Private,Enterprise Software & Network Solutions,Information Technology,-1,engineer,1,1,1,0,0,0,0,0,5,S
